"subsite_id","year","diversity","latitude","longitude"
"b-k-01",2010,8.35,34.02236667,-120.3874667
"b-k-01",1992,5.37,34.02236667,-120.3874667
"b-k-01",2008,1.34,34.02236667,-120.3874667
"b-k-01",1995,3.45,34.02236667,-120.3874667
"b-k-01",2012,2.58,34.02236667,-120.3874667
"b-k-01",1999,5.14,34.02236667,-120.3874667
"b-k-01",2005,14.32,34.02236667,-120.3874667
"b-k-01",2013,9.82,34.02236667,-120.3874667
"b-k-01",2000,6.57,34.02236667,-120.3874667
"b-k-01",2009,6.44,34.02236667,-120.3874667
"b-k-01",2014,9.25,34.02236667,-120.3874667
"b-k-01",1997,9.14,34.02236667,-120.3874667
"b-k-01",2002,4.55,34.02236667,-120.3874667
"b-k-01",2001,5.68,34.02236667,-120.3874667
"b-k-01",1985,4.97,34.02236667,-120.3874667
"b-k-01",1994,6.68,34.02236667,-120.3874667
"b-k-01",2007,10.28,34.02236667,-120.3874667
"b-k-01",1993,3.87,34.02236667,-120.3874667
"b-k-01",1998,8.69,34.02236667,-120.3874667
"b-k-01",1996,8.43,34.02236667,-120.3874667
"b-k-01",1990,4.38,34.02236667,-120.3874667
"b-k-01",1986,3.51,34.02236667,-120.3874667
"b-k-01",2011,3.56,34.02236667,-120.3874667
"b-k-01",2004,8.18,34.02236667,-120.3874667
"b-k-01",1989,1.64,34.02236667,-120.3874667
"b-k-01",2003,1.36,34.02236667,-120.3874667
"b-k-01",1991,3.79,34.02236667,-120.3874667
"b-k-01",1988,3.09,34.02236667,-120.3874667
"b-k-01",2006,3.17,34.02236667,-120.3874667
"b-k-01",1987,4.79,34.02236667,-120.3874667
"b-k-02",1986,5.11,34.06438333,-120.3566
"b-k-02",2010,6.36,34.06438333,-120.3566
"b-k-02",2001,3.55,34.06438333,-120.3566
"b-k-02",2012,12.2,34.06438333,-120.3566
"b-k-02",1995,7.47,34.06438333,-120.3566
"b-k-02",2000,6.95,34.06438333,-120.3566
"b-k-02",2014,7.98,34.06438333,-120.3566
"b-k-02",1998,5.19,34.06438333,-120.3566
"b-k-02",1992,4.18,34.06438333,-120.3566
"b-k-02",2013,5.22,34.06438333,-120.3566
"b-k-02",2005,9.03,34.06438333,-120.3566
"b-k-02",1999,3,34.06438333,-120.3566
"b-k-02",1985,2.45,34.06438333,-120.3566
"b-k-02",2007,16.31,34.06438333,-120.3566
"b-k-02",1993,3.69,34.06438333,-120.3566
"b-k-02",1991,3.72,34.06438333,-120.3566
"b-k-02",1996,6.11,34.06438333,-120.3566
"b-k-02",1987,5.87,34.06438333,-120.3566
"b-k-02",2002,3.07,34.06438333,-120.3566
"b-k-02",2009,4.92,34.06438333,-120.3566
"b-k-02",2011,13.37,34.06438333,-120.3566
"b-k-02",1997,7.04,34.06438333,-120.3566
"b-k-02",1989,5.71,34.06438333,-120.3566
"b-k-02",1990,2.41,34.06438333,-120.3566
"b-k-02",2003,18.99,34.06438333,-120.3566
"b-k-02",1994,3.9,34.06438333,-120.3566
"b-k-02",2008,13.25,34.06438333,-120.3566
"b-k-02",2006,5.51,34.06438333,-120.3566
"b-k-02",1988,6.2,34.06438333,-120.3566
"b-k-02",2004,9.64,34.06438333,-120.3566
"b-k-03",2013,9.38,33.90146667,-120.1029667
"b-k-03",2001,6.09,33.90146667,-120.1029667
"b-k-03",1995,8,33.90146667,-120.1029667
"b-k-03",2000,6.72,33.90146667,-120.1029667
"b-k-03",1985,3.96,33.90146667,-120.1029667
"b-k-03",2009,16.22,33.90146667,-120.1029667
"b-k-03",1992,5.89,33.90146667,-120.1029667
"b-k-03",2010,16.82,33.90146667,-120.1029667
"b-k-03",1999,10.76,33.90146667,-120.1029667
